Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
ORIONPHARM,Orion Pharma Ltd.,6762599911.0,-3.525642171941438,,-0.003423547556056421,2.1616775580905805,0.33472662806308395,12.79408268170313,,15.813667404855229,34529768018.0,11.075828675597196,,66.04657957806529
PADMALIFE,Padma Islami Life Insurance Ltd.,672623989.0,-16.746411708182112,,,,,,,,2212623989.0,,,
PADMAOIL,Padma Oil PLC,17387196739.0,-2.3484450591035286,2.87557064643478,0.11523558242396185,5.216432139501906,0.5795812162246591,13.453157243166915,,0.34745398464980976,-32471065260.999992,,,
PARAMOUNT,Paramount Insurance PLC.,2077979730.0,34.7945226697373,28.026533996683252,,46.58396258643605,1.7634432986893827,125.37770114256956,162.16947884928322,,2077979730.0,4.980000943141814,,
PDL,Pacific Denims Ltd.,945466723.0,-27.631577999467854,,,,,,,,,,,
PENINSULA,The Peninsula Chittagong PLC,2373335876.0,65.85365284341802,,,,0.72424303158094,,,21.570827517499872,4673082040.0,,,
PEOPLESINS,Peoples Insurance PLC,1834140066.0,35.33569003617676,10.903168819697472,0.1853174657875344,2.1531613497191175,1.0955217290494643,8.607149829990043,13.89214642683169,,1834140066.0,2.255422392078985,,
PF1STMF,Phoenix Finance 1st Mutual Fund Units,,,,,,,,,,,,,
PHARMAID,Pharma Aids Limited.,1685424000.0,,23.896663078579117,1.4312088918711285,3.491622025011447,3.7343007975928226,23.805750683538907,1026.6078542970972,43.02729897745808,1645179782.0,3.4673004261038343,17.109516729250842,15.751010175668238
PHENIXINS,Phoenix Insurance PLC,1145701440.0,,15.285684166139575,0.18345041318459065,2.2273129623844383,0.8542572351169242,61.275675427665405,99.07409799303716,,1191115653.0,2.3403242845186187,,
PHOENIXFIN,Phoenix Finance and Investments Ltd.,829370956.0,14.634144372553605,,,,,,,1.9101193716468459,4202407932.0,,,
