Symbol,Name,Gross Margin TTM,Operating Margin TTM,Pretax Margin TTM,Net Margin TTM,FCF Margin TTM,ROA TTM,ROE TTM,ROIC TTM,RAD Ratio TTM,SGAA Ratio TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,
MALEKSPIN,Malek Spinning Mills PLC,11.7325165744388,10.6771066286407,7.67013965897108,6.21991092132049,-12.068667366722394,5.34289063754027,13.2022159863609,9.6062956440418,,1.0500125451913134
MARICO,Marico Bangladesh Limited.,56.3081805918642,40.9636508652012,46.4264868997907,36.2128165324305,27.209955825174546,38.3585737850761,75.0325381173674,73.7757631951658,,15.474445774016335
MATINSPINN,Matin Spinning PLC,14.5262688043981,11.2242784422082,5.76871879168164,4.49679062816176,-8.042662138911716,3.58688232591654,7.29493056600185,6.4036870312144,,3.3019903621899256
MBL1STMF,MBL 1st Mutual Fund 2010- Units,,,,,,,,,,
MEGCONMILK,Meghna Condensed Milk Industries Ltd.,,,,,,,,,,
MEGHNACEM,Meghna Cement Mills PLC,32.0087401033246,4.11053221094352,-126.794801500066,-131.84523600877,-311.113164608411,-6.88705417105526,-116.253703903876,-12.4380273403357,,11.149755005184298
MEGHNAINS,Meghna Insurance Company Ltd,,,,,,,,,,
MEGHNALIFE,Meghna Life Insurance PLC,,415.760036859452,413.377697640672,-39.0796428378522,-14.639733904215266,-8.78558819390329,-378.012692969314,-378.012692969314,,
MEGHNAPET,Meghna Pet Industries Ltd.,,,,,,,,,,
MERCANBANK,Mercantile Bank PLC,,2.87617101705221,2.81463371421558,1.13790572093002,55.132138480806994,0.103118633656718,1.68860030597384,1.45044750079882,,
MERCINS,Mercantile Islami Insurance PLC,,19.3338394777236,19.3338394777236,17.4681526270436,18.38935500153684,3.32631846969841,9.59020920186642,9.51815062897043,,
METROSPIN,Metro Spinning Ltd.,-545.429525747346,-1420.83083668272,-13058.6534898235,-12498.2120485546,,-31.8545092138302,-77.0790001455206,-42.024608708098,,871.6972390464299
MHSML,Mozaffar Hossain Spinning Mills Ltd.,19.7028987931365,17.2708510247272,4.96768834242884,2.89358843489983,-6.8061379922246905,1.30260897286823,4.27090742812817,2.06498600546583,,2.4320477684093453
MIDASFIN,MIDAS Financing PLC,-16.7313356955851,-74.5880208713541,-79.4465199318905,-83.2719463440804,45.40109278323523,-3.67143384550106,-102.068214010671,-18.6673420600844,,
